Number	totalseconds	writingscore	Q1	Q2	Q4_行1	Q4_行2	Q4_行3	Q4_行4	Q4_行5	Q4_行6	Q4_行7	Q4_行8	Q4_行9	Q4_行10	Q4_行11	Q4_行12	Q4_行13	Q4_行14	Q4_行15	Q4_行16	Q4_行17	Q4_行18	Q4_行19	Q4_行20	Q4_行21	Q4_行22	Q4_行23	Q4_行24	Q4_行25	Q4_行26	Q5_行1	Q5_行2	Q5_行3	Q5_行4	Q5_行5	Q5_行6	Q5_行7	Q5_行8	Q5_行9	Q5_行10	Q5_行11	Q5_行12	Q5_行13	Q5_行14	Q5_行15	Q5_行16	Q5_行17	Q5_行18	Q5_行19	Q5_行20	Q5_行21	Q5_行22
78	207	95.00	2	21	5	5	3	3	4	2	3	2	2	5	5	5	5	2	5	4	5	4	5	4	4	5	5	5	4	5	3	1	3	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	3	4	5	5
79	105	86.00	2	19	4	1	2	4	4	1	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	5	1	1	1	1	2	2	4	4	2	3	1	1	4	5
80	254	92.00	2	20	4	4	3	4	3	1	1	2	2	4	3	3	2	1	4	2	3	4	4	4	4	4	4	4	4	4	5	4	3	4	4	4	3	3	2	4	1	1	3	2	4	3	2	3	2	2	3	4
81	245	92.00	1	21	4	3	4	5	4	3	3	3	3	5	3	4	3	3	5	5	4	5	5	5	5	5	5	5	5	5	2	1	1	1	1	2	1	1	1	1	4	1	2	2	3	3	1	3	3	5	1	2
82	141	92.00	2	20	4	4	2	4	3	2	2	2	2	4	4	4	2	2	4	4	4	2	4	4	4	4	4	4	4	4	4	2	2	2	2	2	2	3	2	2	3	2	3	4	4	4	4	4	4	3	4	4
83	174	85.00	2	22	3	3	1	3	2	1	1	1	1	4	4	4	4	1	4	4	3	3	4	4	4	4	4	4	4	4	5	5	4	5	5	5	5	2	5	5	5	5	5	5	1	1	2	5	5	5	5	5
84	209	95.00	2	20	4	3	2	3	3	1	1	1	1	4	4	3	2	1	4	3	4	4	3	4	4	4	4	4	2	2	4	4	2	4	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
85	203	89.00	2	22	4	4	2	4	3	2	1	1	3	4	2	3	2	1	4	4	4	4	4	4	4	4	4	4	4	4	3	2	2	2	2	2	2	2	2	2	3	2	2	3	4	2	2	2	2	3	1	4
86	265	93.00	2	20	4	3	2	4	3	2	2	1	1	4	3	4	3	1	4	4	2	2	4	4	4	4	4	4	3	3	4	3	3	3	3	2	1	3	2	2	2	1	3	4	3	2	4	4	2	4	2	4
87	76	78.00	2	19	2	3	1	3	3	3	3	3	3	3	3	2	2	2	3	2	2	3	3	3	3	3	3	3	3	3	4	5	5	5	5	5	5	5	5	5	5	5	2	2	5	5	2	5	5	2	5	2
88	164	92.00	2	20	4	4	2	4	4	2	2	2	2	4	4	4	3	1	2	4	4	4	4	4	4	3	4	4	4	4	4	4	2	3	4	4	3	4	3	3	3	1	3	4	2	5	4	5	5	5	5	5
89	147	82.00	2	21	4	3	3	3	3	3	3	3	3	4	4	3	4	3	4	3	4	4	4	4	4	4	4	4	4	4	4	3	2	4	4	2	2	4	4	3	3	2	2	3	4	2	4	4	2	4	2	4
90	242	91.00	2	20	4	3	2	4	2	2	2	2	2	4	4	4	4	2	4	2	4	2	4	4	4	4	4	4	2	2	3	3	2	4	4	4	2	4	4	4	4	3	4	4	3	3	3	3	4	4	3	3
91	256	92.00	2	21	4	4	2	4	4	2	3	3	3	4	4	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	3	2	3	2	4	1	1	3	3	3	3	4	3	3	4	3	4	3	2	4	2
92	226	96.00	2	20	4	4	3	4	3	3	3	3	3	4	3	3	3	2	4	4	4	3	4	4	4	4	4	4	3	3	5	3	4	3	4	4	3	2	3	3	3	1	3	3	3	2	2	3	3	3	3	3
93	128	82.00	1	21	4	4	2	4	4	3	1	3	1	4	4	4	4	1	3	4	4	4	4	4	4	4	4	4	4	4	4	3	1	1	1	3	3	4	4	3	2	2	3	3	3	3	3	3	3	3	3	3
94	346	84.00	1	20	4	1	1	4	3	1	1	1	1	4	2	2	3	2	2	3	1	2	4	4	4	4	4	4	3	4	5	4	4	4	4	2	2	2	4	4	4	4	4	5	3	5	4	5	5	5	5	5
95	123	64.00	2	20	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	1	3	2	5	5	5	5	5	5	1	5	5	5	5	3	2	3	5	3	4	4	3	4	3
96	103	80.00	2	19	4	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	3	4	4	4	3	3	3	3	5	4	4	3	4	4	4
97	154		2	21	4	3	2	4	3	4	4	4	2	4	2	3	4	3	4	4	3	3	4	4	4	4	4	4	3	4	3	2	2	2	2	3	2	3	2	2	2	2	3	3	3	2	2	3	2	4	3	3
